&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&更新砍价活动出错&##&,&##&Update bargaining activity error&##&
&##&保存砍价活动异常!&##&,&##&Save bargaining activity is abnormal!&##&
&##&提交审核的状态不正确&##&,&##&The status of the submission review is incorrect&##&
&##&砍价活动提交审核异常!&##&,&##&Bargaining activity submission review is abnormal!&##&
&##&砍价活动审核通过失败，&##&,&##&The bargaining activity failed to pass the audit.&##&
&##&审核的状态不正确&##&,&##&The status of the review is incorrect&##&
&##&审核不通过备注不能为空&##&,&##&Review cannot be empty without comment&##&
&##&活动状态不能为空&##&,&##&Activity status cannot be empty&##&
&##&砍价活动审核拒绝异常!&##&,&##&Bargaining activity review refuses exception!&##&
&##&该砍价活动无法关闭，请检查&##&,&##&The bargaining activity cannot be closed, please check&##&
&##&修改砍价活动关联报名信息异常&##&,&##&Modify the bargaining activity associated registration information is abnormal&##&
&##&关闭砍价活动异常&##&,&##&Close the bargaining activity is abnormal&##&
&##&该砍价活动无法删除，请检查&##&,&##&The bargaining activity cannot be deleted, please check&##&
&##&删除砍价活动异常&##&,&##&Delete bargaining activity abnormal&##&
&##&查询操作流失异常!&##&,&##&Query operation loss is abnormal!&##&
&##&查询操作流失详情异常!&##&,&##&The query operation loss details are abnormal!&##&
&##&新增组合阶梯出错&##&,&##&New combination ladder error&##&
&##&删除组合阶梯出错&##&,&##&Error deleting combination ladder&##&
&##&更新组合阶梯出错&##&,&##&Update combination ladder error&##&
&##&抽奖规则审核失败&##&,&##&Sweepstakes rule review failed&##&
&##&用户昵称&##&,&##&User's Nickname&##&
&##&各时间段促销商品不能为空！&##&,&##&Promotional items cannot be empty at all time periods!&##&
&##&面额/已用金额/剩余金额&##&,&##&Denomination/Used Amount/Remaining Amount&##&
&##&根据ID查询促销活动异常&##&,&##&Query promotion exceptions based on ID&##&
&##&渠道不能为空&##&,&##&Channel cannot be empty&##&
&##&免单活动ID异常&##&,&##&Free activity ID exception&##&
&##&只有满额、满量促销支持加载全部商品!&##&,&##&Only full, full volume promotions support loading all items!&##&
&##&保存代理商限制规则失败&##&,&##&Save agent limit rule failed&##&
&##&系统异常,请稍后再试!&##&,&##&The system is abnormal, please try again later!&##&
&##&更新免单活动状态出错&##&,&##&Update free activity status error&##&
&##&收货人姓名&##&,&##&Consignee name&##&
&##&商品库存已经解冻，无法再次冻结库存&##&,&##&Commodity inventory has been thawed and cannot be frozen again&##&
&##&查询促销概况配置osc-promTypeList失败&##&,&##&Query promotion profile configuration osc-promTypeList failed&##&
&##&查询促销选品异常&##&,&##&Query promotion options are abnormal&##&
&##&中奖时间&##&,&##&Winning time&##&
&##&根据id查询商家名称异常&##&,&##&Query the business name exception based on id&##&
&##&报名设置商品列表导出,参数转换异常&##&,&##&Registration setting product list export, parameter conversion is abnormal&##&
&##&当前促销活动已经解冻商品库存，无法再次冻结&##&,&##&The current promotion has unfrozen commodity inventory and cannot be frozen again&##&
&##&冻结生效的促销商品库存异常&##&,&##&The stock of the promotional goods that is valid for freezing is abnormal.&##&
&##&参数信息不正确&##&,&##&Parameter information is incorrect&##&
&##&查询免单订单汇总信息异常&##&,&##&Querying the order-free order summary information is abnormal&##&
&##&更新免单活动异常&##&,&##&Update free activity exception&##&
&##&加载全部商品异常&##&,&##&Load all items abnormally&##&
&##&报名活动已过期&##&,&##&Registration activity has expired&##&
&##&当前状态的活动不能导入商品&##&,&##&Current status of events cannot import items&##&
&##&成功导入选品：&##&,&##&Successfully imported products:&##&
&##&存在未设置促销参数的商品，无法申请报名&##&,&##&There are items with no promotion parameters set, and you cannot apply for registration.&##&
&##&请选择删除的商家&##&,&##&Please select the deleted business&##&
&##&添加赠品出错&##&,&##&Adding a giveaway error&##&
&##&套餐设置存在必填项为空，请检查！&##&,&##&The required settings for the package settings are empty, please check!&##&
&##&免单活动审核通过异常!&##&,&##&Exemption activity review passed exception!&##&
&##&查询免单活动列表异常!&##&,&##&Query the list of free activities is abnormal!&##&
&##&删除免单活动出错&##&,&##&Error deleting free activity&##&
&##&类目&##&,&##&Category&##&
&##&个人限定购买个数&##&,&##&Individual limited purchases&##&
&##&导出抽奖列表失败&##&,&##&Failed to export the sweepstakes list&##&
&##&更新报名活动商品结算价异常&##&,&##&Update registration event product settlement price is abnormal&##&
&##&查询地区列表失败&##&,&##&Querying the list of regions failed&##&
&##&删除标签与活动关联信息异常&##&,&##&Delete label and activity association information is abnormal&##&
&##&促销活动状态变更，无法冻结此促销活动商品&##&,&##&Promotion status changes, this promotion item cannot be frozen&##&
&##&当前活动类型不能导入商品&##&,&##&Current activity type cannot import goods&##&
&##&更新秒杀发布状态异常&##&,&##&Update spike release status is abnormal&##&
&##&您没有操作改促销的权限!&##&,&##&You do not have permission to change the promotion!&##&
&##&查询代理商等级异常&##&,&##&Query agent level abnormality&##&
&##&当前主题下已存在活动，不允许修改&##&,&##&There is already an activity under the current theme, no modification is allowed&##&
&##&查询免单订单列表异常!&##&,&##&Query the order list of the free order is abnormal!&##&
&##&订单类型&##&,&##&Order Type&##&
&##&加载全部商品时，促销活动为空!&##&,&##&When loading all items, the promotion is empty!&##&
&##&继续提交失败,未知错误！&##&,&##&Continue to submit failed, unknown error!&##&
&##&请选择添加的商品&##&,&##&Please select the added item&##&
&##&促销ID为空！&##&,&##&Promotion ID is empty!&##&
&##&拼团活动审核拒绝异常!&##&,&##&The group activity review rejected the exception!&##&
&##&关闭免单活动异常!&##&,&##&Close the free activity!&##&
&##&特价&##&,&##&Special price&##&
&##&普通&##&,&##&ordinary&##&
&##&未选择任何门店&##&,&##&No store selected&##&
&##&中奖奖品&##&,&##&Winning prize&##&
&##&下单时间&##&,&##&order time&##&
&##&批量插入促销商品互斥记录信息异常&##&,&##&Bulk insertion of promotional items mutual exclusion record information is abnormal&##&
&##&已存在相同名称的标签!&##&,&##&A tag with the same name already exists!&##&
&##&查询支付方式出错&##&,&##&Error in querying payment method&##&
&##&SQL异常，操作失败&##&,&##&SQL exception, operation failed&##&
&##&查询支付平台出错&##&,&##&Query payment platform error&##&
&##&待提交&##&,&##&Pending submission&##&
&##&修改标签信息异常&##&,&##&Modify the label information exception.&##&
&##&抽奖列表异常&##&,&##&The lottery list is abnormal&##&
&##&保存拼团活动异常!&##&,&##&Save the group activity is abnormal!&##&
&##&创建免单活动异常&##&,&##&Create a free activity exception&##&
&##&待设置活动结算价的报名商品&##&,&##&Registration item for which the settlement price of the event is to be set&##&
&##&请选择要导入的Excel文件&##&,&##&Please select the Excel file to import&##&
&##&免单总金额&##&,&##&Free total amount&##&
&##&查询促销商品scope异常&##&,&##&Query promotional item scope exception&##&
&##&卡明细列表&##&,&##&Card list&##&
&##&该免单活动无法删除，请检查&##&,&##&This free event cannot be deleted, please check&##&
&##&查询赠品出错&##&,&##&Error in querying giveaways&##&
&##&查询已选地区列表异常&##&,&##&Query the list of selected regions is abnormal&##&
&##&导出卡明细列表异常&##&,&##&Export card detail list is abnormal&##&
&##&收货地址&##&,&##&Shipping address&##&
&##&查询代理商模式异常&##&,&##&Query agent mode exception&##&
&##&促销活动不是待提交状态，不能删除&##&,&##&Promotions are not pending and cannot be deleted&##&
&##&免单现金&##&,&##&Free cash&##&
&##&全网限定购买个数&##&,&##&The number of purchases limited by the whole network&##&
&##&商品列表不可为空！&##&,&##&The list of items cannot be empty!&##&
&##&查询抽奖活动异常&##&,&##&Query the sweepstakes abnormally&##&
&##&促销参数审核不通过&##&,&##&Promotion parameter review failed&##&
&##&联系电话&##&,&##&contact number&##&
&##&添加商品为空！&##&,&##&Add item is empty!&##&
&##&删除促销活动异常&##&,&##&Delete promotion exception&##&
&##&条；&##&,&##&Article;&##&
&##&新增拼团活动异常!&##&,&##&New spelling group activity is abnormal!&##&
&##&礼金卡密码&##&,&##&Gift card password&##&
&##&参数不足&##&,&##&Lack of parameters&##&
&##&请选择要修改的数据&##&,&##&Please select the data to be modified&##&
&##&处理中&##&,&##&Processing&##&
&##&促销活动已提交审核，不能删除选品&##&,&##&The promotion has been submitted for review and the selection cannot be deleted.&##&
&##&删除免单活动异常!&##&,&##&Delete free activity exception!&##&
&##&活动是否重设分利规则和分销设置分利规则不一致&##&,&##&Whether the activity resets the distribution rules and the distribution settings are inconsistent&##&
&##&查询免单活动列表异常&##&,&##&Query free activity list exception&##&
&##&礼金卡卡号&##&,&##&Gift card number&##&
&##&没找到该活动，追加失败,&##&,&##&Did not find the event, the append failed,&##&
&##&查询促销活动为空&##&,&##&Query promotion is empty&##&
&##&商家信息校验不通过&##&,&##&Business information verification failed&##&
&##&更新库存异常!&##&,&##&Update inventory exception!&##&
&##&参数错误&##&,&##&Parameter error&##&
&##&免单记录列表&##&,&##&Free record list&##&
&##&文件上传格式必须为jpg、png、jpeg或者bmp&##&,&##&The file upload format must be jpg, png, jpeg or bmp&##&
&##&审核的活动的状态不正确&##&,&##&The status of the reviewed activity is incorrect&##&
&##&预售定金不能为零，请检查！&##&,&##&The pre-sale deposit cannot be zero, please check!&##&
&##&查询选品表为空&##&,&##&Query selection table is empty&##&
&##&查询阶梯券列表出错&##&,&##&Query the ladder ticket list error&##&
&##&保存免单活动异常!&##&,&##&Save free activity exception!&##&
&##&删除互斥商品失败&##&,&##&Deleting a mutually exclusive item failed&##&
&##&营销活动查询为null&##&,&##&Campaign Query is null&##&
&##&关闭的活动的状态不正确&##&,&##&The status of the closed activity is incorrect&##&
&##&处理失败&##&,&##&Processing failure&##&
&##&促销价格或者限制信息异常：&##&,&##&Promotional price or restriction information is abnormal:&##&
&##&选品提前终止异常&##&,&##&Option to terminate abnormality early&##&
&##&免单活动审核不通过异常!&##&,&##&Exemption activity review does not pass the exception!&##&
&##&免单佣金&##&,&##&Free commission&##&
&##&存在必填项为空，请检查！&##&,&##&The required fields are empty, please check!&##&
&##&查询不到促销活动&##&,&##&Can't find promotions&##&
&##&参数错误!&##&,&##&Parameter error!&##&
&##&拼团活动不存在&##&,&##&Group activities do not exist.&##&
&##&删除赠品出错&##&,&##&Error deleting the giveaway&##&
&##&查询用户列表出错&##&,&##&Error querying user list&##&
&##&没有可以导入的数据&##&,&##&No data to import&##&
&##&基础价格&##&,&##&Base price&##&
&##&保存全部商品异常&##&,&##&Save all items abnormally&##&
&##&礼金卡卡种名称&##&,&##&Gift card name&##&
&##&免单积分&##&,&##&Free credit&##&
&##&修改失败&##&,&##&fail to edit&##&
&##&礼金卡卡种ID&##&,&##&Gift card type ID&##&
&##&请输入正确的标签名称!&##&,&##&Please enter the correct label name!&##&
&##&更新报名商品状态异常&##&,&##&Update registration item status is abnormal&##&
&##&提交抽奖规则失败&##&,&##&Failed to submit the sweepstakes rule&##&
&##&卡有效期&##&,&##&Card validity&##&
&##&查询互斥列表异常&##&,&##&Query the mutex list exception&##&
&##&删除时段商品异常！&##&,&##&Deletion time period goods are abnormal!&##&
&##&删除赠品阶梯出错&##&,&##&Error deleting the giveaway ladder&##&
&##&查询阶梯赠品列表出错&##&,&##&Query ladder giveaway list error&##&
&##&产品&##&,&##&product&##&
&##&删除选品为空&##&,&##&Delete item is empty&##&
&##&查询免单活动详情异常!&##&,&##&Query for free event details is abnormal!&##&
&##&删除生效的促销商品异常&##&,&##&Delete active promotional items that are in effect&##&
